Complain_0,Complain_1,Geography_France,Geography_Germany,Geography_Spain,IsActiveMember_0,IsActiveMember_1,Gender_Female,Gender_Male,Tenure,Age,Balance,EstimatedSalary,CreditScore,Exited
0,1,1,0,0,0,1,0,1,0.4,0.7142857142857142,0.4035034304167083,0.8891063596573472,0.6745182012847967,1
1,0,1,0,0,1,0,1,0,0.4,0.2619047619047619,0.0,0.8240552472761149,0.24197002141327617,0
1,0,1,0,0,1,0,0,1,0.30000000000000004,0.42857142857142855,0.0,0.975200581655548,1.0,0
0,1,0,1,0,1,0,0,1,0.9,0.4761904761904761,0.26748569508839226,0.3928128136237011,0.49250535331905787,1
1,0,1,0,0,0,1,0,1,0.4,0.3333333333333333,0.0,0.7091238213249365,0.4175588865096359,0
0,1,0,1,0,1,0,1,0,0.4,0.857142857142857,0.5000279994160179,0.41856037251557526,0.04496788008565311,1
1,0,1,0,0,1,0,0,1,0.9,0.28571428571428564,0.0,0.7593613690107405,0.740899357601713,0
1,0,0,1,0,1,0,0,1,0.1,0.3333333333333333,0.5971131147311645,0.15910759477530104,0.43468950749464674,0
1,0,0,0,1,0,1,0,1,0.6000000000000001,0.4761904761904761,0.0,0.4720651822249025,0.7280513918629551,0
1,0,0,0,1,1,0,1,0,0.7000000000000001,0.35714285714285715,0.0,0.10003460330461558,0.7194860813704497,0
1,0,1,0,0,1,0,0,1,0.8,0.3095238095238095,0.5814143104875769,0.6874639028027176,0.3683083511777302,0
0,1,1,0,0,0,1,1,0,0.9,0.8333333333333333,0.6751997593923493,0.7365697924151756,0.6188436830835117,1
0,1,0,1,0,0,1,1,0,0.0,0.5714285714285714,0.5261207847377396,0.14098046363427705,0.2548179871520343,1
1,0,0,0,1,0,1,0,1,0.30000000000000004,0.35714285714285715,0.400467217586232,0.6827029481315465,1.0,0
0,1,0,0,1,1,0,0,1,0.7000000000000001,0.42857142857142855,0.517878155230277,0.37830102774814994,0.6595289079229122,1
1,0,0,1,0,0,1,1,0,0.9,0.5714285714285714,0.41991587102157696,0.6524512590952435,0.9079229122055675,0
1,0,1,0,0,1,0,0,1,0.1,0.4761904761904761,0.49530572353101615,0.3798243232228678,0.43897216274089945,0
1,0,1,0,0,0,1,0,1,0.1,0.5238095238095237,0.0,0.5127288656066654,0.48822269807280516,0
